"Block","Tank","Size","Fish","Day","Eggs"
3,15,"Large","Predator","4",0
3,15,"Large","Predator","5",0
3,15,"Large","Predator","6",2
3,15,"Large","Predator","7",0
3,15,"Large","Predator","8",0
3,15,"Large","Predator","9",1
3,15,"Large","Predator","10",1
3,15,"Large","Predator","11",0
3,15,"Large","Predator","12",1
3,15,"Large","Predator","13",0
3,15,"Large","Predator","14",1
3,16,"Small","Predator-Free","1",1
3,16,"Small","Predator-Free","2",5
3,16,"Small","Predator-Free","3",2
3,16,"Small","Predator-Free","4",0
3,16,"Small","Predator-Free","5",1
3,16,"Small","Predator-Free","6",4
3,16,"Small","Predator-Free","7",1
3,16,"Small","Predator-Free","8",1
3,16,"Small","Predator-Free","9",3
3,16,"Small","Predator-Free","10",6
3,16,"Small","Predator-Free","11",5
3,16,"Small","Predator-Free","12",11
3,16,"Small","Predator-Free","13",0
3,16,"Small","Predator-Free","14",0
3,17,"Medium","Predator","1",1
3,17,"Medium","Predator","2",1
3,17,"Medium","Predator","3",0
3,17,"Medium","Predator","4",1
3,17,"Medium","Predator","5",1
3,17,"Medium","Predator","6",0
3,17,"Medium","Predator","7",1
3,17,"Medium","Predator","8",0
3,17,"Medium","Predator","9",0
3,17,"Medium","Predator","10",0
3,17,"Medium","Predator","11",0
3,17,"Medium","Predator","12",1
3,17,"Medium","Predator","13",25
3,17,"Medium","Predator","14",0
3,18,"Large","Predator-Free","1",1
3,18,"Large","Predator-Free","2",1
3,18,"Large","Predator-Free","3",1
3,18,"Large","Predator-Free","4",4
3,18,"Large","Predator-Free","5",12
3,18,"Large","Predator-Free","6",6
3,18,"Large","Predator-Free","7",3
3,18,"Large","Predator-Free","8",0
3,18,"Large","Predator-Free","9",1
3,18,"Large","Predator-Free","10",0
3,18,"Large","Predator-Free","11",1
3,18,"Large","Predator-Free","12",0
3,18,"Large","Predator-Free","13",0
3,18,"Large","Predator-Free","14",0
4,19,"Medium","Predator","1",0
4,19,"Medium","Predator","2",0
4,19,"Medium","Predator","3",0
4,19,"Medium","Predator","4",4
4,19,"Medium","Predator","5",2
4,19,"Medium","Predator","6",3
4,19,"Medium","Predator","7",1
4,19,"Medium","Predator","8",1
4,19,"Medium","Predator","9",0
4,19,"Medium","Predator","10",0
4,19,"Medium","Predator","11",0
4,19,"Medium","Predator","12",2
4,19,"Medium","Predator","13",0
4,19,"Medium","Predator","14",0
4,20,"Small","Predator-Free","1",3
4,20,"Small","Predator-Free","2",17
4,20,"Small","Predator-Free","3",10
4,20,"Small","Predator-Free","4",11
4,20,"Small","Predator-Free","5",9
4,20,"Small","Predator-Free","6",19
4,20,"Small","Predator-Free","7",3
4,20,"Small","Predator-Free","8",0
4,20,"Small","Predator-Free","9",9
4,20,"Small","Predator-Free","10",12
4,20,"Small","Predator-Free","11",7
4,20,"Small","Predator-Free","12",5
4,20,"Small","Predator-Free","13",8
4,20,"Small","Predator-Free","14",0
4,21,"Large","Predator","1",1
4,21,"Large","Predator","2",0
4,21,"Large","Predator","3",0
4,21,"Large","Predator","4",0
4,21,"Large","Predator","5",2
4,21,"Large","Predator","6",9
4,21,"Large","Predator","7",2
4,21,"Large","Predator","8",0
4,21,"Large","Predator","9",6
4,21,"Large","Predator","10",4
4,21,"Large","Predator","11",3
4,21,"Large","Predator","12",1
4,21,"Large","Predator","13",0
4,21,"Large","Predator","14",1
4,22,"Medium","Predator-Free","1",2
4,22,"Medium","Predator-Free","2",7
4,22,"Medium","Predator-Free","3",12
4,22,"Medium","Predator-Free","4",14
4,22,"Medium","Predator-Free","5",10
4,22,"Medium","Predator-Free","6",6
4,22,"Medium","Predator-Free","7",3
4,22,"Medium","Predator-Free","8",4
4,22,"Medium","Predator-Free","9",11
4,22,"Medium","Predator-Free","10",17
4,22,"Medium","Predator-Free","11",21
4,22,"Medium","Predator-Free","12",3
4,22,"Medium","Predator-Free","13",7
4,22,"Medium","Predator-Free","14",0
4,23,"Small","Predator","1",0
4,23,"Small","Predator","2",0
4,23,"Small","Predator","3",2
4,23,"Small","Predator","4",0
4,23,"Small","Predator","5",5
4,23,"Small","Predator","6",3
4,23,"Small","Predator","7",3
4,23,"Small","Predator","8",1
4,23,"Small","Predator","9",2
4,23,"Small","Predator","10",0
4,23,"Small","Predator","11",1
4,23,"Small","Predator","12",2
4,23,"Small","Predator","13",0
4,23,"Small","Predator","14",0
4,24,"Large","Predator-Free","1",2
4,24,"Large","Predator-Free","2",5
4,24,"Large","Predator-Free","3",12
4,24,"Large","Predator-Free","4",23
4,24,"Large","Predator-Free","5",28
4,24,"Large","Predator-Free","6",26
4,24,"Large","Predator-Free","7",10
4,24,"Large","Predator-Free","8",12
4,24,"Large","Predator-Free","9",90
4,24,"Large","Predator-Free","10",124
4,24,"Large","Predator-Free","11",115
4,24,"Large","Predator-Free","12",73
4,24,"Large","Predator-Free","13",38
4,24,"Large","Predator-Free","14",7
5,25,"Large","Predator-Free","1",0
5,25,"Large","Predator-Free","2",0
5,25,"Large","Predator-Free","3",1
5,25,"Large","Predator-Free","4",0
5,25,"Large","Predator-Free","5",0
5,25,"Large","Predator-Free","6",0
5,25,"Large","Predator-Free","7",0
5,25,"Large","Predator-Free","8",0
5,25,"Large","Predator-Free","9",5
5,25,"Large","Predator-Free","10",7
5,25,"Large","Predator-Free","11",10
5,25,"Large","Predator-Free","12",4
5,25,"Large","Predator-Free","13",3
5,25,"Large","Predator-Free","14",0
5,26,"Medium","Predator","1",0
5,26,"Medium","Predator","2",3
5,26,"Medium","Predator","3",0
5,26,"Medium","Predator","4",2
5,26,"Medium","Predator","5",1
5,26,"Medium","Predator","6",0
5,26,"Medium","Predator","7",2
5,26,"Medium","Predator","8",0
5,26,"Medium","Predator","9",1
5,26,"Medium","Predator","10",1
5,26,"Medium","Predator","11",1
5,26,"Medium","Predator","12",0
5,26,"Medium","Predator","13",1
5,26,"Medium","Predator","14",0
5,27,"Small","Predator-Free","1",1
5,27,"Small","Predator-Free","2",1
5,27,"Small","Predator-Free","3",5
5,27,"Small","Predator-Free","4",10
5,27,"Small","Predator-Free","5",5
5,27,"Small","Predator-Free","6",6
5,27,"Small","Predator-Free","7",2
5,27,"Small","Predator-Free","8",3
5,27,"Small","Predator-Free","9",0
5,27,"Small","Predator-Free","10",0
5,27,"Small","Predator-Free","11",3
5,27,"Small","Predator-Free","12",2
5,27,"Small","Predator-Free","13",1
5,27,"Small","Predator-Free","14",0
5,28,"Large","Predator","1",1
5,28,"Large","Predator","2",0
5,28,"Large","Predator","3",1
5,28,"Large","Predator","4",2
5,28,"Large","Predator","5",1
5,28,"Large","Predator","6",0
5,28,"Large","Predator","7",1
5,28,"Large","Predator","8",1
5,28,"Large","Predator","9",1
5,28,"Large","Predator","10",1
5,28,"Large","Predator","11",0
5,28,"Large","Predator","12",0
5,28,"Large","Predator","13",1
5,28,"Large","Predator","14",0
5,29,"Medium","Predator-Free","1",1
5,29,"Medium","Predator-Free","2",0
5,29,"Medium","Predator-Free","3",1
5,29,"Medium","Predator-Free","4",2
5,29,"Medium","Predator-Free","5",2
5,29,"Medium","Predator-Free","6",0
5,29,"Medium","Predator-Free","7",1
5,29,"Medium","Predator-Free","8",0
5,29,"Medium","Predator-Free","9",3
5,29,"Medium","Predator-Free","10",1
5,29,"Medium","Predator-Free","11",0
5,29,"Medium","Predator-Free","12",0
5,29,"Medium","Predator-Free","13",2
5,29,"Medium","Predator-Free","14",0
5,30,"Small","Predator","1",1
5,30,"Small","Predator","2",0
5,30,"Small","Predator","3",0
5,30,"Small","Predator","4",3
5,30,"Small","Predator","5",15
5,30,"Small","Predator","6",3
5,30,"Small","Predator","7",2
5,30,"Small","Predator","8",2
5,30,"Small","Predator","9",0
5,30,"Small","Predator","10",0
5,30,"Small","Predator","11",0
5,30,"Small","Predator","12",0
5,30,"Small","Predator","13",0
5,30,"Small","Predator","14",0
6,31,"Medium","Predator","1",0
6,31,"Medium","Predator","2",3
6,31,"Medium","Predator","3",6
6,31,"Medium","Predator","4",6
6,31,"Medium","Predator","5",4
6,31,"Medium","Predator","6",26
6,31,"Medium","Predator","7",0
6,31,"Medium","Predator","8",0
6,31,"Medium","Predator","9",1
6,31,"Medium","Predator","10",0
6,31,"Medium","Predator","11",1
6,31,"Medium","Predator","12",4
6,31,"Medium","Predator","13",4
6,31,"Medium","Predator","14",2
6,32,"Large","Predator-Free","1",1
6,32,"Large","Predator-Free","2",0
6,32,"Large","Predator-Free","3",0
6,32,"Large","Predator-Free","4",1
6,32,"Large","Predator-Free","5",8
6,32,"Large","Predator-Free","6",1
6,32,"Large","Predator-Free","7",1
6,32,"Large","Predator-Free","8",1
6,32,"Large","Predator-Free","9",0
6,32,"Large","Predator-Free","10",1
6,32,"Large","Predator-Free","11",0
6,32,"Large","Predator-Free","12",0
6,32,"Large","Predator-Free","13",2
6,32,"Large","Predator-Free","14",1
6,33,"Small","Predator","1",0
6,33,"Small","Predator","2",0
6,33,"Small","Predator","3",1
6,33,"Small","Predator","4",6
6,33,"Small","Predator","5",7
6,33,"Small","Predator","6",1
6,33,"Small","Predator","7",1
6,33,"Small","Predator","8",2
6,33,"Small","Predator","9",0
6,33,"Small","Predator","10",0
6,33,"Small","Predator","11",0
6,33,"Small","Predator","12",0
6,33,"Small","Predator","13",4
6,33,"Small","Predator","14",0
6,34,"Medium","Predator-Free","1",10
6,34,"Medium","Predator-Free","2",91
6,34,"Medium","Predator-Free","3",32
6,34,"Medium","Predator-Free","4",50
6,34,"Medium","Predator-Free","5",16
6,34,"Medium","Predator-Free","6",51
6,34,"Medium","Predator-Free","7",6
6,34,"Medium","Predator-Free","8",15
6,34,"Medium","Predator-Free","9",13
6,34,"Medium","Predator-Free","10",16
6,34,"Medium","Predator-Free","11",14
6,34,"Medium","Predator-Free","12",8
6,34,"Medium","Predator-Free","13",9
6,34,"Medium","Predator-Free","14",1
6,35,"Large","Predator","1",3
6,35,"Large","Predator","2",2
6,35,"Large","Predator","3",0
6,35,"Large","Predator","4",1
6,35,"Large","Predator","5",0
6,35,"Large","Predator","6",1
6,35,"Large","Predator","7",0
6,35,"Large","Predator","8",1
6,35,"Large","Predator","9",0
6,35,"Large","Predator","10",1
6,35,"Large","Predator","11",0
6,35,"Large","Predator","12",2
6,35,"Large","Predator","13",1
6,35,"Large","Predator","14",0
6,36,"Small","Predator-Free","1",0
6,36,"Small","Predator-Free","2",17
6,36,"Small","Predator-Free","3",16
6,36,"Small","Predator-Free","4",11
6,36,"Small","Predator-Free","5",7
6,36,"Small","Predator-Free","6",10
6,36,"Small","Predator-Free","7",2
6,36,"Small","Predator-Free","8",0
6,36,"Small","Predator-Free","9",5
6,36,"Small","Predator-Free","10",8
6,36,"Small","Predator-Free","11",32
6,36,"Small","Predator-Free","12",4
6,36,"Small","Predator-Free","13",8
6,36,"Small","Predator-Free","14",5
